#At time x allocated y bytes for process z from i to j 
At time 2 allocated 200 bytes for process 1 from 0 to 256
At time 6 allocated 150 bytes for process 2 from 256 to 512
At time 9 freed 200 bytes for process 1 from 0 to 256
At time 9 allocated 100 bytes for process 3 from 0 to 128
At time 17 allocated 70 bytes for process 4 from 128 to 256
At time 21 freed 70 bytes for process 4 from 128 to 256
At time 25 freed 150 bytes for process 2 from 256 to 512
At time 26 freed 100 bytes for process 3 from 0 to 128
