#At time x allocated y bytes for process z from i to j 
At time 2 allocated 200 bytes for process 1 from 0 to 256
At time 4 allocated 150 bytes for process 2 from 256 to 512
At time 7 freed 200 bytes for process 1 from 0 to 256
At time 8 allocated 100 bytes for process 3 from 0 to 128
At time 15 allocated 70 bytes for process 4 from 128 to 256
At time 17 freed 150 bytes for process 2 from 256 to 512
At time 19 freed 70 bytes for process 4 from 128 to 256
At time 26 freed 100 bytes for process 3 from 0 to 128
